Date,predicted_price,prediction_date
2024-06-21,61571.15270182292,2024-06-28
2021-07-24,34809.27150065104,2021-07-31
2024-04-17,61842.5650390625,2024-04-24
2023-04-20,28305.342626953126,2023-04-27
2023-03-26,28659.716829427085,2023-04-02
2021-05-22,38970.10260416667,2021-05-29
2021-07-29,40285.550944010414,2021-08-05
2022-01-28,40528.27591145833,2022-02-04
2023-09-10,26514.766455078126,2023-09-17
2022-05-07,35490.260416666664,2022-05-14
2021-09-24,44573.98326822917,2021-10-01
2021-06-19,36525.77093098958,2021-06-26
2023-04-12,28300.296158854166,2023-04-19
2022-07-19,24889.913444010417,2022-07-26
2021-08-03,40273.84169921875,2021-08-10
2024-05-05,63418.266927083336,2024-05-12
2023-03-28,27227.593880208333,2023-04-04
2023-12-23,42848.78697916667,2023-12-30
2021-04-05,56761.9890625,2021-04-12
2020-01-20,9110.298282877604,2020-01-27
2020-07-07,10223.78282063802,2020-07-14
2022-05-08,34560.97329101562,2022-05-15
2020-04-27,6898.648685709635,2020-05-04
2023-04-19,27335.52127278646,2023-04-26
2020-04-09,7243.741092936198,2020-04-16
2021-12-22,49969.21982421875,2021-12-29
2023-01-28,22974.5298828125,2023-02-04
2022-02-24,36321.18486328125,2022-03-03
2023-04-30,29295.558333333334,2023-05-07
2020-07-13,9217.397989908854,2020-07-20
2020-06-12,9742.057340494792,2020-06-19
2020-01-08,7614.799430338541,2020-01-15
2024-04-02,66129.37067057291,2024-04-09
2021-01-02,36153.28235677083,2021-01-09
2023-12-12,42709.68805338542,2023-12-19
2021-01-01,30551.253841145834,2021-01-08
2020-07-15,9487.3337890625,2020-07-22
2021-12-21,48596.38434244792,2021-12-28
2020-04-10,6823.068139648438,2020-04-17
2022-04-30,40355.871321614584,2022-05-07
2023-10-03,28096.224853515625,2023-10-10
2021-03-29,57867.44235026042,2021-04-05
2020-05-16,9267.231404622396,2020-05-23
2022-08-29,21615.748274739584,2022-09-05
2020-05-04,8767.174397786459,2020-05-11
2022-03-29,48515.3689453125,2022-04-05
2020-05-23,9648.5837890625,2020-05-30
2023-04-23,27689.332779947916,2023-04-30
2022-07-12,20609.83603515625,2022-07-19
2022-02-08,42504.57018229167,2022-02-15
2023-10-20,29322.175439453124,2023-10-27
2023-05-15,27331.543017578126,2023-05-22
2023-01-02,17272.27950846354,2023-01-09
2022-10-29,19858.98583170573,2022-11-05
2022-10-22,20269.96064453125,2022-10-29
2023-04-27,29336.423763020834,2023-05-04
2021-04-16,55445.54990234375,2021-04-23
2025-03-01,83881.80729166667,2025-03-08
2020-06-18,9401.983097330729,2020-06-25
2023-06-24,30158.177180989584,2023-07-01
2021-06-17,38929.72327473958,2021-06-24
2021-02-17,55648.07278645833,2021-02-24
2022-07-18,24430.455224609374,2022-07-25
2024-09-03,61112.22887369792,2024-09-10
2021-10-03,48163.76227213542,2021-10-10
2024-09-26,64536.51666666667,2024-10-03
2020-08-14,12117.993351236979,2020-08-21
2024-10-02,61393.484114583334,2024-10-09
2025-02-28,86441.85084635417,2025-03-07
2022-02-15,45601.00393880208,2022-02-22
2022-03-17,45211.070540364584,2022-03-24
2021-08-21,49741.31822916667,2021-08-28
2023-10-28,35222.05537109375,2023-11-04
2020-08-13,11323.485270182291,2020-08-20
2020-06-21,9694.683675130209,2020-06-28
2021-10-14,58045.868326822914,2021-10-21
2023-09-01,27109.585595703124,2023-09-08
2020-03-16,6383.716577148438,2020-03-23
2024-12-29,96099.63951822916,2025-01-05
2023-07-27,28480.053369140624,2023-08-03
2020-06-29,9568.107096354166,2020-07-06
2023-04-14,29146.647884114584,2023-04-21
2024-12-13,101893.02708333333,2024-12-20
2022-08-05,23136.68338216146,2022-08-12
2024-02-17,58282.28610026042,2024-02-24
2020-04-30,9397.901546223959,2020-05-07
2024-03-18,69439.86233723958,2024-03-25
2022-11-18,16787.879361979165,2022-11-25
2021-06-05,34615.94106445312,2021-06-12
2020-11-22,19522.98984375,2020-11-29
2020-10-12,11802.170434570313,2020-10-19
2020-03-12,5821.416394042969,2020-03-19
2024-01-24,41339.88072916667,2024-01-31
2024-03-01,64994.52819010417,2024-03-08
2021-01-19,32937.995345052084,2021-01-26
2020-12-04,19509.65021158854,2020-12-11
2025-01-30,99093.52330729166,2025-02-06
2021-05-01,59527.960123697914,2021-05-08
2021-06-28,34949.92524414063,2021-07-05
2020-05-30,9779.433764648438,2020-06-06
2022-03-13,40747.476790364584,2022-03-20
2022-01-15,42176.536328125,2022-01-22
2024-01-11,46812.52526041667,2024-01-18
2021-10-31,61883.86240234375,2021-11-07
2020-03-26,6936.153141276041,2020-04-02
2025-02-09,94847.5333984375,2025-02-16
2023-04-09,29772.500341796876,2023-04-16
2024-11-29,96818.39798177083,2024-12-06
2024-08-10,62186.098958333336,2024-08-17
2021-05-06,54368.23636067708,2021-05-13
2023-11-18,38330.73359375,2023-11-25
2020-11-01,15472.043595377605,2020-11-08
2020-02-03,9686.98877766927,2020-02-10
2022-11-15,17129.23709309896,2022-11-22
2025-01-26,97361.1193359375,2025-02-02
2024-12-19,97217.1775390625,2024-12-26
2024-10-16,67955.86604817708,2024-10-23
2024-08-12,58996.50403645833,2024-08-19
2021-06-22,35460.18152669271,2021-06-29
2025-02-05,95851.34830729167,2025-02-12
2025-03-09,85180.33704427084,2025-03-16
2020-05-05,8797.754557291666,2020-05-12
2022-05-10,35127.19858398438,2022-05-17
2023-01-22,23109.37843424479,2023-01-29
2020-07-05,7798.469970703125,2020-07-12
2024-12-18,101351.9875,2024-12-25
2021-05-09,55078.689615885414,2021-05-16
2025-02-03,100655.96888020834,2025-02-10
2024-08-08,59684.48831380208,2024-08-15
2024-08-14,59519.80361328125,2024-08-21
2022-08-30,21547.625821940102,2022-09-06
2022-02-02,40134.87389322917,2022-02-09
2022-05-21,28313.43898111979,2022-05-28
2020-03-29,6704.874466959635,2020-04-05
2021-03-26,55821.18740234375,2021-04-02
2021-05-26,37657.749186197914,2021-06-02
2022-07-10,21556.054638671874,2022-07-17
2022-10-16,20657.669026692707,2022-10-23
2023-06-03,28204.34287109375,2023-06-10
2021-12-12,48069.43011067708,2021-12-19
2022-08-15,23370.04482421875,2022-08-22
2024-07-14,60978.18209635417,2024-07-21
2024-12-12,101973.99244791667,2024-12-19
2023-06-26,28583.3134765625,2023-07-03
2020-07-16,9343.626798502604,2020-07-23
2022-08-11,23258.80654296875,2022-08-18
2022-01-18,43390.909993489586,2022-01-25
2020-01-09,7294.848567708334,2020-01-16
2024-01-27,43107.10234375,2024-02-03
2022-08-27,20833.523111979168,2022-09-03
2023-08-29,27380.523518880207,2023-09-05
2023-03-02,22368.79363606771,2023-03-09
2021-07-07,34485.93081054687,2021-07-14
2023-02-11,22846.40011393229,2023-02-18
2021-11-23,60354.908430989584,2021-11-30
2024-10-20,67847.31910807292,2024-10-27
2020-05-07,9299.34033203125,2020-05-14
2021-11-10,68111.69514973958,2021-11-17
2025-02-07,97685.18157552084,2025-02-14
2024-01-25,40683.539290364584,2024-02-01
2021-09-01,50487.67822265625,2021-09-08
2023-03-07,22662.151497395833,2023-03-14
2024-09-18,60719.2767578125,2024-09-25
2024-07-13,61517.28486328125,2024-07-20
2024-11-30,95809.6146484375,2024-12-07
2022-04-26,39459.74358723958,2022-05-03
2024-10-04,61711.55022786458,2024-10-11
2023-03-31,29136.242154947915,2023-04-07
2023-11-06,36968.099869791666,2023-11-13
2023-11-05,37024.02010091146,2023-11-12
2020-04-26,8451.69862874349,2020-05-03
2022-10-01,20083.07374674479,2022-10-08
2025-01-08,95453.34309895833,2025-01-15
2024-07-10,61511.207421875,2024-07-17
2023-09-18,27246.491292317707,2023-09-25
2022-06-24,21734.69822591146,2022-07-01
2024-04-25,62887.63912760417,2024-05-02
2023-07-17,28867.7009765625,2023-07-24
2020-12-19,24830.861181640626,2020-12-26
2023-06-11,26277.68917643229,2023-06-18
2022-03-05,41447.19894205729,2022-03-12
2022-09-02,20668.61525065104,2022-09-09
2023-08-16,28884.161474609376,2023-08-23
2023-08-25,26643.161263020833,2023-09-01
2022-06-20,22570.767822265625,2022-06-27
2022-09-15,19942.189599609374,2022-09-22
2020-05-29,9602.600846354168,2020-06-05
2024-11-06,76716.66637369791,2024-11-13
2022-11-26,17006.161490885417,2022-12-03
2020-01-22,9046.366780598959,2020-01-29
2022-06-19,21609.95361328125,2022-06-26
2022-12-03,17435.00616861979,2022-12-10
2020-02-05,9636.586067708333,2020-02-12
2020-12-03,20197.904215494793,2020-12-10
2022-10-18,20116.452115885415,2022-10-25
2021-05-08,56750.41044921875,2021-05-15
2020-02-16,9408.19276529948,2020-02-23
2021-04-12,58809.69762369792,2021-04-19
2021-05-04,53406.74264322917,2021-05-11
2022-08-13,23207.003092447918,2022-08-20
2024-02-28,56247.644921875,2024-03-06
2022-04-24,41253.4228515625,2022-05-01
2024-05-09,66004.61800130208,2024-05-16
2022-08-31,19990.589892578126,2022-09-07
2023-07-22,28688.99903971354,2023-07-29
2021-12-02,58110.93642578125,2021-12-09
2020-09-04,10825.801969401042,2020-09-11
2020-07-06,9585.788118489583,2020-07-13
2024-06-06,68475.43557942708,2024-06-13
2022-12-10,18722.860758463543,2022-12-17
2023-12-04,43289.31782226563,2023-12-11
2024-05-07,64978.35738932292,2024-05-14
2023-03-19,29325.80625,2023-03-26
2020-02-01,9647.642163085937,2020-02-08
2023-12-17,42851.513671875,2023-12-24
2021-03-16,56166.37845052083,2021-03-23
2024-09-23,63457.40725911458,2024-09-30
2023-08-23,26697.23273111979,2023-08-30
2021-11-26,51797.8208984375,2021-12-03
2021-04-06,55051.43561197917,2021-04-13
2020-09-06,10458.326416015625,2020-09-13
2021-12-23,50828.101171875,2021-12-30
2020-10-26,13619.14610188802,2020-11-02
2023-04-15,29236.131754557293,2023-04-22
2021-11-06,61902.18662109375,2021-11-13
2024-05-01,57072.278092447916,2024-05-08
2023-08-31,25634.26144205729,2023-09-07
2023-11-14,36303.458235677084,2023-11-21
2025-01-14,96901.2904296875,2025-01-21
2024-04-29,65913.9841796875,2024-05-06
2021-12-09,47281.293619791664,2021-12-16
2020-10-19,10975.666739908855,2020-10-26
2020-11-04,15570.671598307292,2020-11-11
2022-08-28,20579.35986328125,2022-09-04
2023-05-26,27503.372119140626,2023-06-02
2024-04-05,67689.05882161458,2024-04-12
2020-12-14,20306.566975911457,2020-12-21
2020-04-25,8505.87793375651,2020-05-02
2022-01-08,43397.10224609375,2022-01-15
2022-12-26,18604.467333984376,2023-01-02
2023-04-17,28827.693489583333,2023-04-24
2022-02-09,43444.294759114586,2022-02-16
2023-07-23,30780.0490234375,2023-07-30
